OID	LEFT_FID	RIGHT_FID	ORIG_FID	Puntos_x_m	Puntos_y_m	Punto_X_Km	Punto_Y_Km
-1	-1	0	0	696698,2321	9547023,793	696,6982321	9547,023793
-1	-1	0	0	696674,1519	9547153,215	696,6741519	9547,153215
-1	-1	0	0	696679,0844	9547233,849	696,6790844	9547,233849
-1	-1	0	0	696713,97	9547285,312	696,71397	9547,285312
-1	-1	0	0	696709,1938	9547323,19	696,7091938	9547,32319
-1	-1	0	0	696670,6597	9547390,098	696,6706597	9547,390098
-1	-1	0	0	696651,7489	9547518,483	696,6517489	9547,518483
-1	-1	0	0	696629,97	9547662,571	696,62997	9547,662571
-1	-1	0	0	696627,03	9547812,629	696,62703	9547,812629
-1	-1	0	0	696626,8081	9547823,504	696,6268081	9547,823504
-1	-1	0	0	696630,03	9547905,571	696,63003	9547,905571
-1	-1	0	0	696635,952	9548056,766	696,635952	9548,056766
-1	-1	0	0	696685,5579	9548136,7	696,6855579	9548,1367
-1	-1	0	0	696680,681	9548222,665	696,680681	9548,222665
-1	-1	0	0	696690,3175	9548242,529	696,6903175	9548,242529
-1	-1	0	0	696725,2017	9548255,493	696,7252017	9548,255493
-1	-1	0	0	696736,6304	9548277,676	696,7366304	9548,277676
-1	-1	0	0	696731,6847	9548313,105	696,7316847	9548,313105
-1	-1	0	0	696653,4767	9548374,353	696,6534767	9548,374353
-1	-1	0	0	696630,7874	9548423,276	696,6307874	9548,423276
-1	-1	0	0	696651,0176	9548613,495	696,6510176	9548,613495
-1	-1	0	0	696654,5101	9548634,946	696,6545101	9548,634946
-1	-1	0	0	696668,1947	9548649,19	696,6681947	9548,64919
-1	-1	0	0	696710,9041	9548673,404	696,7109041	9548,673404
-1	-1	0	0	696711,3285	9548694,196	696,7113285	9548,694196
-1	-1	0	0	696701,1647	9548704,775	696,7011647	9548,704775
-1	-1	0	0	696652,136	9548722,482	696,652136	9548,722482
-1	-1	0	0	696642,03	9548742,102	696,64203	9548,742102
-1	-1	0	0	696645,7079	9548761,526	696,6457079	9548,761526
-1	-1	0	0	696671,97	9548784,629	696,67197	9548,784629
-1	-1	0	0	696701,6114	9548809,88	696,7016114	9548,80988
-1	-1	0	0	696707,3888	9548838,087	696,7073888	9548,838087
-1	-1	0	0	696686,165	9549031,921	696,686165	9549,031921
-1	-1	0	0	696697,366	9549092,135	696,697366	9549,092135
-1	-1	0	0	696720,2197	9549111,846	696,7202197	9549,111846
-1	-1	0	0	696810,8024	9549121,274	696,8108024	9549,121274
-1	-1	0	0	696845,202	9549143,829	696,845202	9549,143829
-1	-1	0	0	696913,7483	9549215,364	696,9137483	9549,215364
-1	-1	0	0	696953,6565	9549272,1	696,9536565	9549,2721
-1	-1	0	0	696960,0593	9549303,36	696,9600593	9549,30336
-1	-1	0	0	696936,0447	9549522,231	696,9360447	9549,522231
-1	-1	0	0	696942,3669	9549561,067	696,9423669	9549,561067
-1	-1	0	0	696977,7839	9549621,509	696,9777839	9549,621509
-1	-1	0	0	696978,2985	9549646,722	696,9782985	9549,646722
-1	-1	0	0	696955,823	9549773,181	696,955823	9549,773181
-1	-1	0	0	696902,3459	9549863,266	696,9023459	9549,863266
-1	-1	0	0	696786,3201	9549993,018	696,7863201	9549,993018
-1	-1	0	0	696774,03	9550028,925	696,77403	9550,028925
-1	-1	0	0	696777,5819	9550051,524	696,7775819	9550,051524
-1	-1	0	0	696785,7235	9550068,306	696,7857235	9550,068306
-1	-1	0	0	696810,8536	9550089,979	696,8108536	9550,089979
-1	-1	0	0	696980,9564	9550162,189	696,9809564	9550,162189
-1	-1	0	0	697045,2052	9550214,245	697,0452052	9550,214245
-1	-1	0	0	697082,9026	9550272,672	697,0829026	9550,272672
-1	-1	0	0	697098,8639	9550312,022	697,0988639	9550,312022
-1	-1	0	0	697106,97	9550391,336	697,10697	9550,391336
-1	-1	0	0	697100,5825	9550434,666	697,1005825	9550,434666
-1	-1	0	0	697067,024	9550540,469	697,067024	9550,540469
-1	-1	0	0	697014,0315	9550749,455	697,0140315	9550,749455
-1	-1	0	0	696989,5862	9550795,054	696,9895862	9550,795054
-1	-1	0	0	696891,3142	9550903,567	696,8913142	9550,903567
-1	-1	0	0	696836,97	9550953,571	696,83697	9550,953571
-1	-1	0	0	696762,03	9551022,629	696,76203	9551,022629
-1	-1	0	0	696702,2937	9551077,595	696,7022937	9551,077595
-1	-1	0	0	696659,7341	9551128,293	696,6597341	9551,128293
-1	-1	0	0	696510,03	9551382,629	696,51003	9551,382629
-1	-1	0	0	696474,7595	9551442,399	696,4747595	9551,442399
-1	-1	0	0	696435,2135	9551554,954	696,4352135	9551,554954
-1	-1	0	0	696414,3362	9551745,623	696,4143362	9551,745623
-1	-1	0	0	696413,5499	9551784,155	696,4135499	9551,784155
-1	-1	0	0	696434,6653	9551958,811	696,4346653	9551,958811
-1	-1	0	0	696411,1003	9552083,501	696,4111003	9552,083501
-1	-1	0	0	696406,2726	9552123,013	696,4062726	9552,123013
-1	-1	0	0	696368,97	9552207,571	696,36897	9552,207571
-1	-1	0	0	696346,37	9552271,195	696,34637	9552,271195
-1	-1	0	0	696280,6344	9552382,713	696,2806344	9552,382713
-1	-1	0	0	696236,0251	9552457,86	696,2360251	9552,45786
-1	-1	0	0	696219,5955	9552482,919	696,2195955	9552,482919
-1	-1	0	0	696196,8336	9552506,61	696,1968336	9552,50661
-1	-1	0	0	696185,127	9552512,641	696,185127	9552,512641
-1	-1	0	0	696121,6267	9552520,4	696,1216267	9552,5204
-1	-1	0	0	696093,7793	9552533,91	696,0937793	9552,53391
-1	-1	0	0	696072,6768	9552554,185	696,0726768	9552,554185
-1	-1	0	0	696051,9785	9552600,421	696,0519785	9552,600421
-1	-1	0	0	696031,0873	9552671,085	696,0310873	9552,671085
